"pattern","freq","support"
"{COMP6390,COMP8110,COMP8173}",48,0.170818505338078
"{COMP6390,COMP8173,COMP8400}",48,0.170818505338078
"{COMP8173,COMP8180,COMP8440}",48,0.170818505338078
"{COMP6390,COMP8110,COMP8400,COMP8420}",48,0.170818505338078
"{COMP6390,COMP8100,COMP8110,COMP8180}",48,0.170818505338078
"{COMP6390,COMP8100,COMP8180,COMP8400}",48,0.170818505338078
"{COMP8200,COMP8800}",47,0.167259786476868
"{COMP8100,COMP8190}",47,0.167259786476868
"{COMP6700,COMP8100}",47,0.167259786476868
"{COMP6490,COMP8420}",47,0.167259786476868
"{COMP6340,COMP8100,COMP8110}",47,0.167259786476868
"{COMP6340,COMP8110,COMP8400}",47,0.167259786476868
"{COMP6490,COMP8110,COMP8400}",47,0.167259786476868
"{COMP6466,COMP8100,COMP8110}",47,0.167259786476868
"{COMP8180,COMP8420,COMP8440}",47,0.167259786476868
"{COMP6240,COMP8110,COMP8180,COMP8400}",47,0.167259786476868
"{COMP8100,COMP8173,COMP8400,COMP8440}",47,0.167259786476868
"{COMP8110,COMP8173,COMP8400,COMP8420}",47,0.167259786476868
"{COMP8100,COMP8110,COMP8180,COMP8400,COMP8420}",47,0.167259786476868
"{COMP6320,COMP6390}",46,0.163701067615658
"{COMP8110,COMP8400,COMP8790}",46,0.163701067615658
"{COMP6311,COMP8100,COMP8110}",46,0.163701067615658
"{COMP6311,COMP8110,COMP8400}",46,0.163701067615658
"{COMP6467,COMP8110,COMP8400}",46,0.163701067615658
"{COMP6390,COMP8100,COMP8440}",46,0.163701067615658
"{COMP8100,COMP8173,COMP8180,COMP8400}",46,0.163701067615658
"{COMP8100,COMP8110,COMP8400,COMP8420,COMP8440}",46,0.163701067615658
"{COMP8400,COMP8800}",45,0.160142348754448
"{COMP8180,COMP8790}",45,0.160142348754448
"{COMP6311,COMP8180}",45,0.160142348754448
"{COMP6490,COMP8100}",45,0.160142348754448
"{COMP6467,COMP8100}",45,0.160142348754448
"{COMP8100,COMP8110,COMP8790}",45,0.160142348754448
"{COMP6311,COMP8100,COMP8400}",45,0.160142348754448
"{COMP6320,COMP6467,COMP8400}",45,0.160142348754448
"{COMP6240,COMP6390,COMP8110}",45,0.160142348754448
"{COMP6240,COMP8400,COMP8420}",45,0.160142348754448
"{COMP6240,COMP8100,COMP8180}",45,0.160142348754448
"{COMP6390,COMP8110,COMP8440}",45,0.160142348754448
"{COMP6390,COMP8100,COMP8400,COMP8440}",45,0.160142348754448
"{COMP8100,COMP8110,COMP8173,COMP8400,COMP8440}",45,0.160142348754448
"{COMP8100,COMP8110,COMP8173,COMP8180,COMP8400}",45,0.160142348754448
"{COMP6320,COMP6490}",44,0.156583629893238
"{COMP6240,COMP8440}",44,0.156583629893238
"{COMP6340,COMP8100,COMP8400}",44,0.156583629893238
"{COMP6700,COMP8100,COMP8400}",44,0.156583629893238
"{COMP6320,COMP8100,COMP8110,COMP8400}",44,0.156583629893238
"{COMP8110,COMP8173,COMP8180,COMP8440}",44,0.156583629893238
"{COMP8100,COMP8150}",43,0.153024911032028
"{COMP8110,COMP8150}",43,0.153024911032028
"{COMP8110,COMP8800}",43,0.153024911032028
"{COMP6390,COMP6490}",43,0.153024911032028
"{COMP6490,COMP8180}",43,0.153024911032028
"{COMP6240,COMP8173}",43,0.153024911032028
"{COMP6700,COMP8100,COMP8110}",43,0.153024911032028
"{COMP6490,COMP8400,COMP8420}",43,0.153024911032028
"{COMP6320,COMP6390,COMP8400}",43,0.153024911032028
"{COMP8100,COMP8173,COMP8420}",43,0.153024911032028
"{COMP6240,COMP6390,COMP8110,COMP8400}",43,0.153024911032028
"{COMP6390,COMP8110,COMP8173,COMP8400}",43,0.153024911032028
"{COMP6390,COMP8110,COMP8400,COMP8440}",43,0.153024911032028
"{COMP8180,COMP8400,COMP8420,COMP8440}",43,0.153024911032028
"{COMP6390,COMP8100,COMP8110,COMP8180,COMP8400}",43,0.153024911032028
"{COMP8150,COMP8180}",42,0.149466192170818
"{COMP6341,COMP8110}",42,0.149466192170818
"{COMP6341,COMP8400}",42,0.149466192170818
"{COMP6463,COMP8180}",42,0.149466192170818
"{COMP6466,COMP8180}",42,0.149466192170818
"{COMP6490,COMP8100,COMP8400}",42,0.149466192170818
"{COMP6467,COMP8100,COMP8400}",42,0.149466192170818
"{COMP6463,COMP8180,COMP8400}",42,0.149466192170818
"{COMP6240,COMP8110,COMP8420}",42,0.149466192170818
"{COMP6466,COMP8100,COMP8110,COMP8400}",42,0.149466192170818
"{COMP6240,COMP8100,COMP8110,COMP8180}",42,0.149466192170818
"{COMP6240,COMP8100,COMP8180,COMP8400}",42,0.149466192170818
"{COMP6341,COMP8100}",41,0.145907473309609
